point_id,latitude,longitude,roughness_score,condition
00000,40.0915144,-86.073612,1.9,Glass
00001,40.091505,-86.072439,4.4,Glass
00002,40.0924059,-86.0724268,9.7,Glass
00003,40.0896845,-86.0701177,3.8,Glass
00004,40.0905854,-86.0701054,9.1,Glass
00005,40.0914862,-86.0700932,14.4,Glass
00006,40.0896751,-86.0689448,4.7,Glass
00007,40.0905759,-86.0689325,10.0,Glass
00008,40.0914768,-86.0689203,15.3,Glass
00009,40.087864,-86.0677965,2.1,Glass
00010,40.0896657,-86.0677719,2.5,Glass
00011,40.0905665,-86.0677596,7.8,Glass
00012,40.0914673,-86.0677473,13.1,Glass
00013,40.0923682,-86.067735,0.8,Glass
00014,40.0878545,-86.0666236,1.3,Glass
00015,40.0887554,-86.0666113,6.6,Glass
00016,40.0896562,-86.066599,11.9,Glass
00017,40.0905571,-86.0665867,17.2,Glass
00018,40.0860434,-86.0654754,0.2,Glass
00019,40.0869442,-86.0654631,5.5,Glass
00020,40.0878451,-86.0654508,10.8,Glass
00021,40.0887459,-86.0654384,16.0,Glass
00022,40.0896468,-86.0654261,21.3,Glass
00023,40.0905476,-86.0654138,26.6,Glass
00024,40.0824305,-86.0643519,0.4,Glass
00025,40.0833314,-86.0643396,5.7,Glass
00026,40.0842322,-86.0643272,11.0,Glass
00027,40.0851331,-86.0643149,16.3,Glass
00028,40.0860339,-86.0643026,21.6,Glass
00029,40.0869347,-86.0642902,26.9,Glass
00030,40.0878356,-86.0642779,2.6,Glass
00031,40.0815202,-86.0631915,0.6,Glass
00032,40.082421,-86.0631791,5.9,Glass
00033,40.0833219,-86.0631668,11.2,Glass
00034,40.0842227,-86.0631544,16.5,Glass
00035,40.0851236,-86.0631421,21.8,Glass
00036,40.0779073,-86.0620682,1.2,Glass
00037,40.0815107,-86.0620187,4.9,Glass
00038,40.0824115,-86.0620064,10.2,Glass
00039,40.0787987,-86.0608831,2.1,Glass
00040,40.0796995,-86.0608707,7.4,Glass
00041,40.0806003,-86.0608584,12.7,Glass
00042,40.0815012,-86.060846,18.0,Glass
00043,40.0769874,-86.0597352,2.9,Glass
00044,40.0778883,-86.0597228,8.2,Glass
00045,40.0787891,-86.0597104,13.5,Glass
00046,40.07969,-86.059698,18.8,Glass
00047,40.0805908,-86.0596856,24.1,Glass
00048,40.0814917,-86.0596732,29.4,Glass
00049,40.0760771,-86.0585749,1.3,Glass
00050,40.0769779,-86.0585625,3.6,Glass
00051,40.0778788,-86.0585501,8.8,Glass
00052,40.0787796,-86.0585377,14.1,Glass
00053,40.073365,-86.0574395,0.3,Glass
00054,40.0751667,-86.0574147,0.7,Glass
00055,40.0760675,-86.0574023,6.0,Glass
00056,40.0769684,-86.0573899,11.3,Glass
00057,40.0778692,-86.0573774,16.6,Glass
00058,40.0742563,-86.0562545,3.3,Glass
00059,40.0751571,-86.0562421,8.6,Glass
00060,40.076058,-86.0562296,13.9,Glass
00061,40.0769588,-86.0562172,19.2,Glass
00062,40.0778597,-86.0562047,24.5,Glass
00063,40.0742467,-86.0550819,0.8,Glass
00064,40.0751476,-86.0550694,6.1,Glass
00065,40.0760484,-86.055057,11.4,Glass
00066,40.075138,-86.0538968,4.2,Glass
00067,40.0760389,-86.0538843,9.4,Glass
00068,40.0742276,-86.0527366,1.9,Glass
00069,40.0751284,-86.0527241,7.2,Glass
00070,40.0760293,-86.0527117,12.5,Glass
00071,40.0769301,-86.0526992,17.7,Glass
00072,40.0733171,-86.0515765,4.5,Glass
00073,40.074218,-86.051564,9.8,Glass
00074,40.0751188,-86.0515515,15.1,Glass
00075,40.0760197,-86.051539,20.4,Glass
00076,40.0769205,-86.0515265,25.7,Glass
00077,40.0778214,-86.051514,31.0,Glass
00078,40.0787222,-86.0515015,36.3,Moderate
00079,40.0733075,-86.0504039,3.4,Glass
00080,40.0742084,-86.0503914,8.7,Glass
00081,40.0751092,-86.0503789,14.0,Glass
00082,40.0760101,-86.0503664,19.3,Glass
00083,40.0769109,-86.0503538,24.6,Glass
00084,40.0778118,-86.0503413,29.9,Glass
00085,40.0787126,-86.0503288,35.1,Moderate
00086,40.0805143,-86.0503038,0.4,Glass
00087,40.0732979,-86.0492313,2.3,Glass
00088,40.0741988,-86.0492188,7.6,Glass
