point_id,latitude,longitude,fetch_N,fetch_NE,fetch_E,fetch_SE,fetch_S,fetch_SW,fetch_W,fetch_NW
00000,40.0915144,-86.073612,39.48,157.82,184.22,104.92,36.41,40.96,86.29,52.68
00001,40.091505,-86.072439,117.31,91.88,84.21,124.3,84.7,91.25,186.3,100.93
00002,40.0924059,-86.0724268,17.31,16.4,26.88,120.32,184.7,182.39,60.05,28.98
00003,40.0896845,-86.0701177,222.7,299.5,445.29,131.46,73.35,74.96,80.89,114.67
00004,40.0905854,-86.0701054,122.69,143.36,426.19,226.31,173.35,115.54,81.29,120.06
00005,40.0914862,-86.0700932,22.69,34.11,251.34,748.95,273.35,120.02,78.06,28.86
00006,40.0896751,-86.0689448,201.51,273.41,345.29,84.89,89.89,105.47,180.89,261.48
00007,40.0905759,-86.0689325,101.51,158.08,326.19,607.52,189.88,216.38,181.28,170.29
00008,40.0914768,-86.0689203,1.51,1.94,151.32,592.92,289.89,256.95,178.05,2.36
00009,40.087864,-86.0677965,13.33,19.05,325.47,58.77,41.06,61.22,41.07,18.66
00010,40.0896657,-86.0677719,217.49,241.26,245.29,466.09,48.86,115.69,280.89,311.7
00011,40.0905665,-86.0677596,117.49,131.99,226.19,451.49,148.85,246.89,281.28,143.78
00012,40.0914673,-86.0677473,17.5,16.66,51.36,333.57,248.85,357.8,278.07,104.65
00013,40.0923682,-86.067735,32.79,47.93,24.74,13.94,16.86,114.74,62.86,38.28
00014,40.0878545,-86.0666236,392.28,200.27,225.46,481.79,25.22,45.48,141.08,62.73
00015,40.0887554,-86.0666113,292.27,235.23,165.34,324.67,125.23,8.73,11.05,453.12
00016,40.0896562,-86.066599,192.28,162.06,145.29,310.07,225.22,86.45,380.89,285.21
00017,40.0905571,-86.0665867,92.27,99.84,126.19,192.15,325.23,257.12,381.28,246.07
00018,40.0860434,-86.0654754,533.3,151.86,166.66,337.19,4.04,4.39,35.2,32.1
00019,40.0869442,-86.0654631,433.31,169.82,111.91,340.38,104.03,69.26,93.79,204.15
00020,40.0878451,-86.0654508,333.3,110.88,125.47,183.26,204.04,133.2,241.07,594.54
00021,40.0887459,-86.0654384,233.3,58.85,65.34,168.64,304.03,186.9,111.04,426.63
00022,40.0896468,-86.0654261,133.3,93.8,45.29,50.73,404.04,150.15,480.89,387.49
00023,40.0905476,-86.0654138,33.3,20.64,26.19,89.19,504.03,227.87,481.28,128.43
00024,40.0824305,-86.0643519,519.43,200.1,9.98,6.82,8.77,32.39,47.34,24.88
00025,40.0833314,-86.0643396,419.43,201.02,167.39,1656.25,108.77,22.41,29.31,121.91
00026,40.0842322,-86.0643272,319.42,178.63,139.32,674.32,208.76,88.46,86.04,92.32
00027,40.0851331,-86.0643149,219.42,112.54,133.77,195.77,308.77,121.42,56.25,173.52
00028,40.0860339,-86.0643026,119.43,61.69,66.66,198.96,408.77,85.93,135.2,345.57
00029,40.0869347,-86.0642902,19.43,10.44,11.91,41.83,508.76,145.8,193.79,735.97
00030,40.0878356,-86.0642779,49.31,28.4,25.47,27.23,50.41,210.68,341.08,568.05
00031,40.0815202,-86.0631915,457.25,183.31,349.06,125.39,13.01,6.81,7.65,24.3
00032,40.082421,-86.0631791,357.25,118.6,199.21,1514.82,113.01,55.86,64.37,263.34
