point_id,latitude,longitude,depth_ft,roughness_score,wind_condition,depth_tier,final_condition
00000,40.0915144,-86.073612,1.15,1.9,Glass,Shallow,YELLOW
00001,40.091505,-86.072439,1.68,4.4,Glass,Shallow,YELLOW
00002,40.0924059,-86.0724268,2.06,9.7,Glass,Shallow,YELLOW
00003,40.0896845,-86.0701177,7.44,3.8,Glass,Shallow,YELLOW
00004,40.0905854,-86.0701054,6.15,9.1,Glass,Shallow,YELLOW
00005,40.0914862,-86.0700932,5.25,14.4,Glass,Shallow,YELLOW
00006,40.0896751,-86.0689448,7.97,4.7,Glass,Shallow,YELLOW
00007,40.0905759,-86.0689325,7.68,10.0,Glass,Shallow,YELLOW
00008,40.0914768,-86.0689203,2.52,15.3,Glass,Shallow,YELLOW
00009,40.087864,-86.0677965,5.17,2.1,Glass,Shallow,YELLOW
00010,40.0896657,-86.0677719,9.37,2.5,Glass,Moderate Depth,GREEN
00011,40.0905665,-86.0677596,8.78,7.8,Glass,Moderate Depth,GREEN
00012,40.0914673,-86.0677473,6.83,13.1,Glass,Shallow,YELLOW
00013,40.0923682,-86.067735,2.42,0.8,Glass,Shallow,YELLOW
00014,40.0878545,-86.0666236,10.99,1.3,Glass,Moderate Depth,GREEN
00015,40.0887554,-86.0666113,8.83,6.6,Glass,Moderate Depth,GREEN
00016,40.0896562,-86.066599,10.86,11.9,Glass,Moderate Depth,GREEN
00017,40.0905571,-86.0665867,10.07,17.2,Glass,Moderate Depth,GREEN
00018,40.0860434,-86.0654754,4.25,0.2,Glass,Shallow,YELLOW
00019,40.0869442,-86.0654631,13.93,5.5,Glass,Moderate Depth,GREEN
00020,40.0878451,-86.0654508,12.98,10.8,Glass,Moderate Depth,GREEN
00021,40.0887459,-86.0654384,12.68,16.0,Glass,Moderate Depth,GREEN
00022,40.0896468,-86.0654261,11.77,21.3,Glass,Moderate Depth,GREEN
00023,40.0905476,-86.0654138,8.78,26.6,Glass,Moderate Depth,GREEN
00024,40.0824305,-86.0643519,12.86,0.4,Glass,Moderate Depth,GREEN
00025,40.0833314,-86.0643396,18.91,5.7,Glass,Deep,GREEN
00026,40.0842322,-86.0643272,17.77,11.0,Glass,Deep,GREEN
00027,40.0851331,-86.0643149,17.55,16.3,Glass,Deep,GREEN
00028,40.0860339,-86.0643026,16.5,21.6,Glass,Deep,GREEN
00029,40.0869347,-86.0642902,13.9,26.9,Glass,Moderate Depth,GREEN
00030,40.0878356,-86.0642779,13.36,2.6,Glass,Moderate Depth,GREEN
00031,40.0815202,-86.0631915,19.37,0.6,Glass,Deep,GREEN
00032,40.082421,-86.0631791,21.32,5.9,Glass,Deep,GREEN
00033,40.0833219,-86.0631668,19.04,11.2,Glass,Deep,GREEN
00034,40.0842227,-86.0631544,17.46,16.5,Glass,Deep,GREEN
00035,40.0851236,-86.0631421,16.62,21.8,Glass,Deep,GREEN
00036,40.0779073,-86.0620682,3.85,1.2,Glass,Shallow,YELLOW
00037,40.0815107,-86.0620187,21.64,4.9,Glass,Deep,GREEN
00038,40.0824115,-86.0620064,20.03,10.2,Glass,Deep,GREEN
00039,40.0787987,-86.0608831,21.35,2.1,Glass,Deep,GREEN
00040,40.0796995,-86.0608707,8.09,7.4,Glass,Moderate Depth,GREEN
00041,40.0806003,-86.0608584,14.14,12.7,Glass,Moderate Depth,GREEN
00042,40.0815012,-86.060846,22.24,18.0,Glass,Deep,GREEN
00043,40.0769874,-86.0597352,26.96,2.9,Glass,Deep,GREEN
00044,40.0778883,-86.0597228,27.3,8.2,Glass,Deep,GREEN
00045,40.0787891,-86.0597104,26.04,13.5,Glass,Deep,GREEN
00046,40.07969,-86.059698,25.45,18.8,Glass,Deep,GREEN
00047,40.0805908,-86.0596856,25.42,24.1,Glass,Deep,GREEN
00048,40.0814917,-86.0596732,20.96,29.4,Glass,Deep,GREEN
00049,40.0760771,-86.0585749,6.31,1.3,Glass,Shallow,YELLOW
00050,40.0769779,-86.0585625,30.15,3.6,Glass,Deep,GREEN
00051,40.0778788,-86.0585501,27.92,8.8,Glass,Deep,GREEN
00052,40.0787796,-86.0585377,25.79,14.1,Glass,Deep,GREEN
00053,40.073365,-86.0574395,2.56,0.3,Glass,Shallow,YELLOW
00054,40.0751667,-86.0574147,6.53,0.7,Glass,Shallow,YELLOW
00055,40.0760675,-86.0574023,28.65,6.0,Glass,Deep,GREEN
00056,40.0769684,-86.0573899,31.22,11.3,Glass,Deep,GREEN
00057,40.0778692,-86.0573774,28.2,16.6,Glass,Deep,GREEN
00058,40.0742563,-86.0562545,22.83,3.3,Glass,Deep,GREEN
00059,40.0751571,-86.0562421,30.27,8.6,Glass,Deep,GREEN
00060,40.076058,-86.0562296,32.15,13.9,Glass,Deep,GREEN
00061,40.0769588,-86.0562172,31.47,19.2,Glass,Deep,GREEN
00062,40.0778597,-86.0562047,28.35,24.5,Glass,Deep,GREEN
00063,40.0742467,-86.0550819,16.22,0.8,Glass,Deep,GREEN
00064,40.0751476,-86.0550694,34.93,6.1,Glass,Deep,GREEN
00065,40.0760484,-86.055057,33.89,11.4,Glass,Deep,GREEN
00066,40.075138,-86.0538968,39.8,4.2,Glass,Deep,GREEN
00067,40.0760389,-86.0538843,36.44,9.4,Glass,Deep,GREEN
00068,40.0742276,-86.0527366,40.55,1.9,Glass,Deep,GREEN
00069,40.0751284,-86.0527241,35.44,7.2,Glass,Deep,GREEN
00070,40.0760293,-86.0527117,34.4,12.5,Glass,Deep,GREEN
00071,40.0769301,-86.0526992,37.2,17.7,Glass,Deep,GREEN
00072,40.0733171,-86.0515765,5.91,4.5,Glass,Shallow,YELLOW
00073,40.074218,-86.051564,40.43,9.8,Glass,Deep,GREEN
00074,40.0751188,-86.0515515,36.48,15.1,Glass,Deep,GREEN
00075,40.0760197,-86.051539,33.85,20.4,Glass,Deep,GREEN
00076,40.0769205,-86.0515265,39.42,25.7,Glass,Deep,GREEN
00077,40.0778214,-86.051514,35.56,31.0,Glass,Deep,GREEN
00078,40.0787222,-86.0515015,5.44,36.3,Moderate,Shallow,YELLOW
00079,40.0733075,-86.0504039,34.45,3.4,Glass,Deep,GREEN
00080,40.0742084,-86.0503914,36.83,8.7,Glass,Deep,GREEN
00081,40.0751092,-86.0503789,36.01,14.0,Glass,Deep,GREEN
00082,40.0760101,-86.0503664,33.86,19.3,Glass,Deep,GREEN
00083,40.0769109,-86.0503538,40.35,24.6,Glass,Deep,GREEN
00084,40.0778118,-86.0503413,34.49,29.9,Glass,Deep,GREEN
00085,40.0787126,-86.0503288,32.76,35.1,Moderate,Deep,ORANGE
00086,40.0805143,-86.0503038,8.87,0.4,Glass,Moderate Depth,GREEN
00087,40.0732979,-86.0492313,34.76,2.3,Glass,Deep,GREEN
00088,40.0741988,-86.0492188,36.48,7.6,Glass,Deep,GREEN
00089,40.0750996,-86.0492062,36.75,12.8,Glass,Deep,GREEN
00090,40.0760005,-86.0491937,35.64,18.1,Glass,Deep,GREEN
00091,40.0769013,-86.0491812,40.28,23.4,Glass,Deep,GREEN
00092,40.0778021,-86.0491686,35.03,28.7,Glass,Deep,GREEN
00093,40.078703,-86.0491561,32.42,34.0,Moderate,Deep,ORANGE
00094,40.0814055,-86.0491185,9.22,1.1,Glass,Moderate Depth,GREEN
00095,40.084108,-86.0490809,8.45,1.7,Glass,Moderate Depth,GREEN
00096,40.0850089,-86.0490684,24.72,2.1,Glass,Deep,GREEN
00097,40.0732883,-86.0480587,25.26,1.1,Glass,Deep,GREEN
00098,40.0741891,-86.0480461,36.65,6.4,Glass,Deep,GREEN
00099,40.07509,-86.0480336,37.59,11.7,Glass,Deep,GREEN
00100,40.0759908,-86.048021,37.02,17.0,Glass,Deep,GREEN
00101,40.0768917,-86.0480085,33.62,22.3,Glass,Deep,GREEN
00102,40.0777925,-86.047996,36.36,27.6,Glass,Deep,GREEN
00103,40.0786934,-86.0479834,33.16,32.9,Glass,Deep,GREEN
00104,40.0795942,-86.0479709,20.15,38.2,Moderate,Deep,ORANGE
00105,40.080495,-86.0479583,20.18,43.5,Moderate,Deep,ORANGE
00106,40.0822967,-86.0479332,37.0,1.3,Glass,Deep,GREEN
00107,40.0831976,-86.0479207,30.24,6.6,Glass,Deep,GREEN
00108,40.0840984,-86.0479081,29.25,11.8,Glass,Deep,GREEN
00109,40.0849993,-86.0478956,32.77,17.1,Glass,Deep,GREEN
00110,40.114727,-86.0474811,3.06,2.1,Glass,Shallow,YELLOW
00111,40.0732786,-86.0468861,7.58,3.1,Glass,Shallow,YELLOW
00112,40.0741795,-86.0468735,36.76,8.4,Glass,Deep,GREEN
00113,40.0750803,-86.046861,38.69,13.7,Glass,Deep,GREEN
00114,40.0759812,-86.0468484,23.48,19.0,Glass,Deep,GREEN
00115,40.076882,-86.0468358,41.08,24.3,Glass,Deep,GREEN
